President,Start_Year,End_Year,Total_Attacks,Total_Fatalities
Olusegun Obasanjo (Military),1976,1979,6430,4689.0
Shehu Shagari,1979,1983,13324,25931.0
Muhammadu Buhari (Military),1983,1985,9280,26988.0
Ibrahim Babangida,1985,1993,30644,59231.0
Ernest Shonekan,1993,1993,0,0.0
Sani Abacha,1993,1998,13726,36371.0
Abdulsalami Abubakar,1998,1999,2329,8081.0
Olusegun Obasanjo (Democratic),1999,2007,16909,57925.0
Umaru Musa Yarâ€™Adua,2007,2010,17594,39081.0
Goodluck Jonathan,2010,2015,62328,137186.0
Muhammadu Buhari (Democratic),2015,2017,39452,100169.0
